"direction","gene_symbol"
"immature_negative","ALAS2"
"immature_negative","ALDH18A1"
"immature_negative","ALDOC"
"immature_negative","ANAPC4"
"immature_negative","ANKHD1"
"immature_negative","ANKRD10"
"immature_negative","ANKRD24"
"immature_negative","ANXA1"
"immature_negative","AP3S1"
"immature_negative","APOBEC3A"
"immature_negative","APOBEC3G"
"immature_negative","APPL1"
"immature_negative","ARFGEF1"
"immature_negative","ARGLU1"
"immature_negative","ARHGAP15"
"immature_negative","ARHGAP30"
"immature_negative","ARHGEF1"
"immature_negative","ARPC1B"
"immature_negative","ASGR1"
"immature_negative","ASGR2"
"immature_negative","ATG2A"
"immature_negative","ATG4B"
"immature_negative","ATP11B"
"immature_negative","ATP5MG"
"immature_negative","ATP5MK"
"immature_negative","BAG1"
"immature_negative","BANF1"
"immature_negative","BTBD1"
"immature_negative","C10orf54"
"immature_negative","C4orf33"
"immature_negative","C6orf58"
"immature_negative","CAMLG"
"immature_negative","CARD16"
"immature_negative","CCDC181"
"immature_negative","CCDC6"
"immature_negative","CCL17"
"immature_negative","CCNL2"
"immature_negative","CCR2"
"immature_negative","CCT5"
"immature_negative","CD101"
"immature_negative","CD1D"
"immature_negative","CD28"
"immature_negative","CD300LB"
"immature_negative","CD300LF"
"immature_negative","CD52"
"immature_negative","CD69"
"immature_negative","CD93"
"immature_negative","CDC37L1"
"immature_negative","CDC5L"
"immature_negative","CDK1"
"immature_negative","CDK2AP1"
"immature_negative","CEBPD"
"immature_negative","CENPC"
"immature_negative","CEP41"
"immature_negative","CFP"
"immature_negative","CHD9"
"immature_negative","CHMP1B"
"immature_negative","CHPF2"
"immature_negative","CHURC1"
"immature_negative","CLEC4M"
"immature_negative","CMPK1"
"immature_negative","CNBP"
"immature_negative","COMMD6"
"immature_negative","COX4I1"
"immature_negative","CPA6"
"immature_negative","CPSF3"
"immature_negative","CREB5"
"immature_negative","CREBZF"
"immature_negative","CTBS"
"immature_negative","CX3CR1"
"immature_negative","CXCL10"
"immature_negative","CXXC5"
"immature_negative","CYC1"
"immature_negative","CYSLTR1"
"immature_negative","DAPP1"
"immature_negative","DAZAP2"
"immature_negative","DNAJC10"
"immature_negative","DNAJC15"
"immature_negative","DOCK2"
"immature_negative","DOCK8"
"immature_negative","DPP4"
"immature_negative","DPYD"
"immature_negative","DUS1L"
"immature_negative","EAF2"
"immature_negative","ECI2"
"immature_negative","EEF2"
"immature_negative","EFCAB14"
"immature_negative","EIF1B"
"immature_negative","EIF3A"
"immature_negative","EIF3E"
"immature_negative","EIF3L"
"immature_negative","EMC3"
"immature_negative","ENPP6"
"immature_negative","ENSA"
"immature_negative","EOLA1"
"immature_negative","EREG"
"immature_negative","ERI2"
"immature_negative","ERO1B"
"immature_negative","ESF1"
"immature_negative","ETNK1"
"immature_negative","EVI2B"
"immature_negative","EXOSC1"
"immature_negative","F13A1"
"immature_negative","FAM136A"
"immature_negative","FAM162A"
"immature_negative","FAM168B"
"immature_negative","FAM174B"
"immature_negative","FAM200B"
"immature_negative","FAM26F"
"immature_negative","FAM65B"
"immature_negative","FAM98A"
"immature_negative","FASTK"
"immature_negative","FCAR"
"immature_negative","FCER1A"
"immature_negative","FCN1"
"immature_negative","FEM1C"
"immature_negative","FGL2"
"immature_negative","FLT3"
"immature_negative","FNTA"
"immature_negative","FOS"
"immature_negative","FOSL2"
"immature_negative","FPR1"
"immature_negative","FPR2"
"immature_negative","FXYD6"
"immature_negative","FYN"
"immature_negative","GAB2"
"immature_negative","GABARAPL1"
"immature_negative","GABPA"
"immature_negative","GABPB2"
"immature_negative","GAPT"
"immature_negative","GCLM"
"immature_negative","GIMAP1"
"immature_negative","GIMAP6"
"immature_negative","GIMAP7"
"immature_negative","GINS1"
"immature_negative","GMFG"
"immature_negative","GNB1"
"immature_negative","GNG2"
"immature_negative","GOLM1"
"immature_negative","GPM6B"
"immature_negative","GTPBP4"
"immature_negative","H2AZ1"
