"gene_symbol","GSE5099_logFC","GSE5099_moderated_t","GSE11864_logFC","GSE11864_moderated_t","action","reason"
"LBP",0.167274042833334,1.42809352813727,-0.311852080625544,-0.368540398805756,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LBX1-AS1",-0.096241585333333,-0.983094794409829,0.21688962312639,0.256187689830989,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCAT",-0.143999652333333,-1.35038623172748,0.0966703460087235,0.115702172654168,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCMT1-AS2",-0.206207212333333,-2.1041275836249,1.07914183164618,1.26456604734974,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCMT2",0.00456422733333387,0.0449972629616919,-0.0975050321587692,-0.167430259168072,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCN1",-0.0164558486666662,-0.166699765074336,1.72279379309253,2.41217130646932,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCN12",-0.0807041249999993,-1.13825322551359,1.69409628897137,2.92291638916154,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCN2",-1.63959792866667,-7.06489176315839,0.981786474935227,1.10902883827595,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCN8",-0.0476440970000003,-0.498165916840185,1.4603752357777,2.1739289435798,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCP1",-0.885397653333332,-6.33099645375412,0.0266073185867851,0.386266863314244,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCP2",0.954538429083334,5.06094626202774,-2.0440626043971,-14.1220154609227,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LCT",0.00128643433333393,0.0114575527188301,-0.580165683285026,-0.823660374064855,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LDB3",-0.131036554999999,-1.0770950435658,0.655375528243417,0.822549876726784,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LDHB",1.81884027266667,12.6389184657373,-1.6595609197652,-15.1345865494466,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LDHD",0.0465489456666674,0.654311573720795,-0.239868363298815,-0.294326286329179,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LDLRAP1",0.195822023333335,1.3674641627736,-0.232757476888822,-1.21721872648027,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LEMD1",-0.0912591706666655,-1.01436419251948,1.07849757219216,1.62790560432992,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LEMD3",-0.138599540333333,-0.913181814803147,0.201330373936652,1.90272003469415,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LENEP",0.0185484119999998,0.15418187910653,-1.07994203462981,-2.28526763110017,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LENG1",-0.400328179666667,-2.44733132645006,0.0253497958829201,0.0789671888936763,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LEO1",-0.0810485899999997,-0.697417813762377,1.26147604143381,5.62623346496648,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LETM1",-0.199986474916666,-1.88236065758162,0.0247125443246969,0.0467268836610391,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LETMD1",0.147699906999999,0.990661093875579,-0.930508472748134,-7.31527987061639,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LFNG",-0.888752771833333,-7.47212849701743,0.784350358906133,2.61918553620791,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGALS1",-0.016704519999997,-0.133315388786938,0.696071255899178,10.2287316198014,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGALS14",0.0728082586666681,0.77729665632617,-0.766360656768788,-1.03296238522656,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGALS3",0.121016083333337,1.20432307027327,-0.081793025750878,-0.68916334705372,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGALS3BP",3.11218987133333,22.24206158569,-1.03287054020276,-3.96835776391194,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGALS8",0.700861940500001,5.09499401144556,-0.120765580241827,-1.11591913637155,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGALS8-AS1",-0.132633291666666,-1.08163004301735,0.440942675968266,0.90260969986899,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGALS9",0.307840931333335,1.38173523054111,-0.563137908875184,-5.62286976132161,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGI2",0.826645896000002,4.25382768102002,-0.282419808834074,-0.336625286461534,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGI3",-0.0345110456666655,-0.318071308380048,0.117031106161677,0.14134763036172,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGI4",-0.194393384833331,-1.65204805390031,0.775050118201834,1.13136955358746,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGR5",0.063220089333334,0.545087913676266,-1.05275002422627,-1.05578211291604,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LGR6",0.301254728666668,2.59889260489143,-1.63138316415951,-2.39608220284662,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHFPL1",-0.219587208666666,-2.87879838402619,0.62779913568285,0.487096136875829,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHFPL3-AS1",-0.106931192999999,-1.56633562775001,0.904118691357112,1.09528354112614,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHFPL3-AS2",0.107046894333335,0.97283592620545,-0.514275436313768,-0.810247746834806,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHFPL4",-0.171872432666665,-1.58031826704061,2.18048790982873,2.54633889600967,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHPP",0.527973755666668,4.01601711682332,-0.307034998837637,-1.21426363334535,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
