"top_n_final_per_direction","direction","consensus_rank","gene_symbol","consensus_mean_percentile","consensus_worst_source_percentile","GSE5099_rank_in_direction","GSE11864_rank_in_direction","GSE5099_percentile_in_direction","GSE11864_percentile_in_direction","selected_in_GSE5099_individual_top200","selected_in_GSE11864_individual_top200","GSE5099_logFC","GSE11864_logFC","GSE5099_moderated_t","GSE11864_moderated_t"
200,"mature_positive",195,"DPY30",0.0318358109105002,0.0462462826970929,762,325,0.0462462826970929,0.0174253391239076,FALSE,FALSE,1.04206987733334,1.24766713580795,6.17767003526532,11.577934078189
200,"mature_positive",196,"MARCKS",0.0320115359306521,0.0598409904715664,986,78,0.0598409904715664,0.00418208138973782,FALSE,TRUE,0.738861247666668,2.11682638480245,5.37695022472623,19.4046563257902
200,"mature_positive",197,"COL23A1",0.032343701042815,0.0364055546619484,466,679,0.0282818474236815,0.0364055546619484,FALSE,FALSE,1.19057159333334,3.00577951043956,8.09939074930516,8.09193823020399
200,"mature_positive",198,"ZKSCAN4",0.0323766658558634,0.046485443139778,301,867,0.0182678885719488,0.046485443139778,FALSE,FALSE,1.29200434066667,2.81255071344422,9.65083197154522,7.14136606108342
200,"mature_positive",199,"DEGS1",0.0324996806915066,0.0507373915154458,836,266,0.0507373915154458,0.0142619698675674,FALSE,FALSE,0.891675439333335,1.13082682029676,5.89042149924267,12.9386394783564
200,"mature_positive",200,"VEGFB",0.0325376941109856,0.0412846496166425,392,770,0.0237907386053286,0.0412846496166425,FALSE,FALSE,1.67705584233334,2.55011179470774,8.73945946923706,7.6467670334058
200,"immature_negative",1,"G0S2",0.000448105716172123,0.000788978576197123,13,2,0.000788978576197123,0.000107232856147123,TRUE,TRUE,-2.545076914,-7.53092133006859,-18.9426074864949,-49.8955138170284
200,"immature_negative",2,"TREM1",0.000544727224868383,0.00060690659707471,10,9,0.00060690659707471,0.000482547852662056,TRUE,TRUE,-2.73800169533333,-4.27545034510837,-20.0458143719853,-34.6496080103715
200,"immature_negative",3,"S100A12",0.000953924667054005,0.00117956141761836,12,22,0.000728287916489652,0.00117956141761836,TRUE,TRUE,-4.84871543266666,-6.41437736356333,-19.8426516794899,-29.2318417262119
200,"immature_negative",4,"VCAN",0.00136517051255773,0.00230550640716315,7,43,0.000424834617952297,0.00230550640716315,TRUE,TRUE,-4.17167048306667,-3.85825765505474,-21.943532276614,-25.1462133835383
200,"immature_negative",5,"DUSP2",0.0024873880263267,0.00358074892274079,59,26,0.00358074892274079,0.00139402712991261,TRUE,TRUE,-1.83214784466667,-3.86953137105267,-12.5832332105417,-27.9162109415821
200,"immature_negative",6,"NRGN",0.002629622709783,0.00337783496863439,31,63,0.0018814104509316,0.00337783496863439,TRUE,TRUE,-3.29157530466667,-3.47276176702195,-14.8348671706114,-22.5812069449827
200,"immature_negative",7,"CFP",0.00267355681208531,0.00309522364508102,51,42,0.00309522364508102,0.00225188997908959,TRUE,TRUE,-2.051506308,-3.66320661615802,-12.9783827814189,-25.2848041197581
200,"immature_negative",8,"PMAIP1",0.002707439257756,0.00321660496449596,53,41,0.00321660496449596,0.00219827355101603,TRUE,TRUE,-1.952838681,-4.2625248425789,-12.929160422549,-25.3807682939555
200,"immature_negative",9,"FYN",0.00278954297232407,0.00509356066698837,8,95,0.000485525277659768,0.00509356066698837,TRUE,TRUE,-2.50423255088889,-2.55386994310205,-21.4751652026654,-19.1831452645132
200,"immature_negative",10,"ICAM3",0.00304719273614251,0.00582630333191722,96,5,0.00582630333191722,0.000268082140367809,TRUE,TRUE,-3.000844018,-4.24878851949406,-10.8134295469717,-37.8496803193258
200,"immature_negative",11,"BTG2",0.00324155513517352,0.00364143958244826,60,53,0.00364143958244826,0.00284167068789877,TRUE,TRUE,-1.729136919,-2.46449186688452,-12.5212349064482,-23.5058090027855
